Inhalt;Anonymisierung;Klassifizierung;Generierte Frage/Fragen;Wunschantwort
"Wir möchten Sperrmüll entsorgen. Darf im Container auch eine alte Stehlampe, Töpfe, Pfannen und Gläser entsorgt werden. Außerdem haben wir einen alten Crosstrainer wie sieht es damit aus?
";;waste_disposal_guidance;Darf im Sperrmüll eine alte Stehlampe entsorgt werden? Dürfen Töpfe im Sperrmüll entsorgt werden? Düfen Pfannen im Sperrmüll entsorgt werden? Dürfen Gläser im Sperrmüll entsorgt werden? Wo wird ein Crosstrainer entsorgt?;Das darf alles im Sperrmüll entsorgt werden
wir bitten um Abholung der Herrenlosen Papiermülltonne in der Otto-Suhr Allee- 80-82;Adresse;complex_query_customer_support;;
Guten Tag, wir benötigen ab dem 02.09. einen Container für Bauschutt in der Gartenstraße 119. Abgestellt werden müsste er auf öffentlichem Grund. 2 Wochen haben für das Entkernen geplant. Wenn wir den Container über Sie beziehen würden, würden Sie sich auch um die Beantragung der Sondererlaubnis für das Abstellen des Containers bei der Stadt kümmern?;Adresse;internal_faq;Wer kümmert sich um die Sondererlaubnis zum Abstellen des Containers bei der Stadt?;Für die Stellplatzgenehmigung bist du verantwortlich. Bitte kontaktiere deine Behörde.
Kalksandsteine, Fliesen, Putz, Beton, Laminat, behandeltes Holz.;;waste_disposal_guidance;Wo entsorge ich Kalksandstein? Wo werden Fliesen entsorgt? Wo wird Putz entsorgt? Wo wird Beton entsorgt? Wo wird Laminat entsorgt? Wo wird behandeltes Holz entsorgt?;Kalksandstein, Fliesen, Putz und Beton gehören in den Baumischabfall Container. Laminat ist Sperrmüll und Behandeltes Holz gehört in die Fraktion Holz A1-A3
Hallo ich brauche einen Container für den Bodenaushub. Materialien zu entsorgen sind Erde und Kies . Was für einen Container brauche ich.;;waste_disposal_guidance;Wo entsorge ich Erde. Wo entsorge ich Kies.;Das weiß ich leider nicht
Was kostet ein Container für Eternitplatten ( Asbest ) entsorgen ca. 60qm;;complex_query_customer_support;Wo entsorge ich Asbest;Das weiß ich leider nicht
"sony TV GERÄT ;SCHWER ;ALT ;DEFFEKT; MAße;80cm -60cm -50cm , gewicht ca. 30kg ; vielleicht noch kleingeräte dazu kommen von mitbewohner im mehrfamilien.haus wo ich auch wohne!";;waste_disposal_guidance;Wo entsorge ich einen TV. Was darf noch mit rein?;In den Container E-Geräte (Großgeräte) dürfen neben Fernseher auch Gefrierschränke, Herde, Kühlschränke, Trockner und Waschmaschinen. 
Hallo, Ich benötige ein Angebot zur Entsorgung von ca. 0,5qm Gussasphalt.;;complex_query_customer_support;;
Guten Tag, Ich habe für Montag, den 15.07.24 einen Container bestellt. Ich würde gerne wissen, wann dieser ca. geliefert wird. Ich habe ein Parkverbotsschild aufstellen lassen - ggf. muss ich abschleppen lassen bevor der Container kommt. Mit freundlichen Grüßen, Uwe Marko;Name;complex_query_customer_support;;
Wie groß muss der Container sein siehe Foto . Reutlingen im Efeu 21 72766 Reutlingen Wenn alles Passt ist stellen sofort möglich;Adresse;complex_query_customer_support;;
