anfrage,wunsch_anonymisierung,wunsch_klassifizierung,wunsch_fragen,wunschantwort,generierte_frage_0,kontext_frage_0,generierte_frage_1,kontext_frage_1,generierte_frage_2,kontext_frage_2,generierte_frage_3,kontext_frage_3,generierte_frage_4,kontext_frage_4,generierte_frage_5,kontext_frage_5,generierte_frage_6,kontext_frage_6,generierte_frage_7,kontext_frage_7,anonymisierter_user_input,klassifizierung,form_query_token_usage,generate_token_usage,generierte_antwort
"Wir möchten Sperrmüll entsorgen. Darf im Container auch eine alte Stehlampe, Stühle und Tische entsorgt werden. Außerdem haben wir einen alten Crosstrainer wie sieht es damit aus?",,waste_disposal_guidance,Darf im Sperrmüll eine alte Stehlampe entsorgt werden? Dürfen Töpfe im Sperrmüll entsorgt werden? Düfen Pfannen im Sperrmüll entsorgt werden? Dürfen Gläser im Sperrmüll entsorgt werden? Wo wird ein Crosstrainer entsorgt?,Bis auf den Crosstrainer darf alles im Sperrmüll entsorgt werden.,,,,,,,,,,,,,,,,,"Wir möchten Sperrmüll entsorgen. Darf im Container auch eine alte Stehlampe, Stühle und Tische entsorgt werden. Außerdem haben wir einen alten Crosstrainer wie sieht es damit aus?",waste_disposal_guidance,"input: 0, output: 0","input: 0, output: 0","Eine alte Stehlampe und ein alter Crosstrainer dürfen nicht im Sperrmüll entsorgt werden, da sie als Elektrogeräte gelten. Stühle und Tische hingegen können im Sperrmüll entsorgt werden."
wir bitten um Abholung der Herrenlosen Papiermülltonne in der Otto-Suhr Allee- 80-82,Adresse,complex_query_customer_support,,,,,,,,,,,,,,,,,,,wir bitten um Abholung der Herrenlosen Papiermülltonne in der <ANONYMIZED_LOCATION> 80-82,complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"Guten Tag, wir benötigen ab dem 02.09. einen Container für Bauschutt in der Gartenstraße 119. Abgestellt werden müsste er auf öffentlichem Grund. 2 Wochen haben für das Entkernen geplant. Wenn wir den Container über Sie beziehen würden, würden Sie sich auch um die Beantragung der Sondererlaubnis für das Abstellen des Containers bei der Stadt kümmern?",Adresse,internal_faq,Wer kümmert sich um die Sondererlaubnis zum Abstellen des Containers bei der Stadt?,Für die Stellplatzgenehmigung bist du verantwortlich. Bitte kontaktiere deine Behörde.,,,,,,,,,,,,,,,,,"Guten Tag, wir benötigen ab dem 02.09. einen Container für Bauschutt in der Gartenstraße 119. <ANONYMIZED_LOCATION> werden müsste er auf öffentlichem Grund. 2 Wochen haben für das Entkernen geplant. Wenn wir den Container über Sie beziehen würden, würden Sie sich auch um die Beantragung der Sondererlaubnis für das Abstellen des Containers bei der <ANONYMIZED_LOCATION_2> kümmern?",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"Kalksandsteine, Fliesen, Putz, Beton, Laminat, behandeltes Holz.",,waste_disposal_guidance,Wo entsorge ich Kalksandstein? Wo werden Fliesen entsorgt? Wo wird Putz entsorgt? Wo wird Beton entsorgt? Wo wird Laminat entsorgt? Wo wird behandeltes Holz entsorgt?,"Kalksandstein, Fliesen, Putz und Beton gehören in den Baumischabfall Container. Laminat ist Sperrmüll und Behandeltes Holz gehört in die Fraktion Holz A1-A3",,,,,,,,,,,,,,,,,"Kalksandsteine, Fliesen, Putz, Beton, Laminat, behandeltes Holz.",waste_disposal_guidance,"input: 0, output: 0","input: 0, output: 0","Kalksandsteine, Fliesen, Putz und Beton werden in der Fraktion Bauschutt entsorgt. Laminat gehört zur Fraktion Holz A1 - A3. Behandeltes Holz wird in der Fraktion Holz A4 entsorgt."
Hallo ich brauche einen Container für den Bodenaushub. Materialien zu entsorgen sind Erde und Kies . Was für einen Container brauche ich.,,waste_disposal_guidance,Wo entsorge ich Erde. Wo entsorge ich Kies.,Das weiß ich leider nicht,,,,,,,,,,,,,,,,,Hallo ich brauche einen Container für den Bodenaushub. Materialien zu entsorgen sind <ANONYMIZED_LOCATION> und Kies . Was für einen Container brauche ich.,complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
Was kostet ein Container für Eternitplatten ( Asbest ) entsorgen ca. 60qm,,complex_query_customer_support,Wo entsorge ich Asbest,Das weiß ich leider nicht,,,,,,,,,,,,,,,,,Was kostet ein Container für Eternitplatten ( Asbest ) entsorgen ca. 60qm,complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"sony TV GERÄT ;SCHWER ;ALT ;DEFFEKT; MAße;80cm -60cm -50cm , gewicht ca. 30kg ; vielleicht noch kleingeräte dazu kommen von mitbewohner im mehrfamilien.haus wo ich auch wohne!",,waste_disposal_guidance,Wo entsorge ich einen TV. Was darf noch mit rein?,"In den Container E-Geräte (Großgeräte) dürfen neben Fernseher auch Gefrierschränke, Herde, Kühlschränke, Trockner und Waschmaschinen.",,,,,,,,,,,,,,,,,"sony TV GERÄT ;SCHWER ;ALT ;DEFFEKT; <ANONYMIZED_PERSON> -60cm -50cm , gewicht ca. 30kg ; vielleicht noch kleingeräte dazu kommen von mitbewohner im mehrfamilien.haus wo ich auch wohne!",waste_disposal_guidance,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"Hallo, Ich benötige ein Angebot zur Entsorgung von ca. 0,5qm Gussasphalt.",,complex_query_customer_support,,,,,,,,,,,,,,,,,,,"Hallo, Ich benötige ein Angebot zur Entsorgung von ca. 0,5qm Gussasphalt.",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
"Guten Tag, Ich habe für Montag, den 15.07.24 einen Container bestellt. Ich würde gerne wissen, wann dieser ca. geliefert wird. Ich habe ein Parkverbotsschild aufstellen lassen - ggf. muss ich abschleppen lassen bevor der Container kommt. Mit freundlichen Grüßen, Uwe Marko",Name,complex_query_customer_support,,,,,,,,,,,,,,,,,,,"Guten Tag, Ich habe für Montag, den 15.07.24 einen Container bestellt. Ich würde gerne wissen, wann dieser ca. geliefert wird. Ich habe ein Parkverbotsschild aufstellen lassen - ggf. muss ich abschleppen lassen bevor der Container kommt. Mit freundlichen Grüßen, <ANONYMIZED_PERSON>",complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
Wie groß muss der Container sein siehe Foto . Efeu 21 72766 Reutlingen Wenn alles Passt ist stellen sofort möglich,Adresse,complex_query_customer_support,,,,,,,,,,,,,,,,,,,Wie groß muss der Container sein siehe Foto . Efeu 21 72766 <ANONYMIZED_LOCATION> Wenn alles Passt ist stellen sofort möglich,complex_query_customer_support,"input: 0, output: 0","input: 0, output: 0",Bitte kontaktieren Sie unseren Kundenservice
